Type Ctrl-C to quit.
2026-06-01 04:05:48+00:00 | (285694 files, 11% size)
2026-06-01 04:05:58+00:00 | (285734 files, 11% size)
2026-06-01 04:06:08+00:00 | (285774 files, 11% size)
2026-06-01 04:06:18+00:00 | (285814 files, 11% size)
2026-06-01 04:06:28+00:00 | (285854 files, 11% size)
2026-06-01 04:06:38+00:00 | (285894 files, 11% size)
2026-06-01 04:06:48+00:00 | (285934 files, 11% size)
2026-06-01 04:06:58+00:00 | (285974 files, 11% size)
2026-06-01 04:07:08+00:00 | (286014 files, 11% size)
2026-06-01 04:07:18+00:00 | (286054 files, 11% size)
2026-06-01 04:07:28+00:00 | (286094 files, 11% size)
2026-06-01 04:07:38+00:00 | (286134 files, 11% size)
2026-06-01 04:07:48+00:00 | (286174 files, 11% size)
2026-06-01 04:07:58+00:00 | (286214 files, 11% size)
2026-06-01 04:08:08+00:00 | (286254 files, 11% size)
2026-06-01 04:08:18+00:00 | (286294 files, 11% size)
2026-06-01 04:08:28+00:00 | (286334 files, 11% size)
2026-06-01 04:08:38+00:00 | (286374 files, 11% size)
2026-06-01 04:08:48+00:00 | (286414 files, 11% size)
2026-06-01 04:08:58+00:00 | (286454 files, 11% size)
2026-06-01 04:09:08+00:00 | (286494 files, 11% size)
2026-06-01 04:09:18+00:00 | (286534 files, 11% size)
2026-06-01 04:09:28+00:00 | (286574 files, 11% size)
2026-06-01 04:09:38+00:00 | (286614 files, 11% size)
2026-06-01 04:09:48+00:00 | (286654 files, 11% size)
2026-06-01 04:09:58+00:00 | (286694 files, 11% size)
2026-06-01 04:10:08+00:00 | (286734 files, 11% size)
2026-06-01 04:10:18+00:00 | (286774 files, 11% size)
2026-06-01 04:10:28+00:00 | (286814 files, 11% size)
2026-06-01 04:10:38+00:00 | (286854 files, 11% size)
2026-06-01 04:10:48+00:00 | (286894 files, 11% size)
2026-06-01 04:10:58+00:00 | (286934 files, 11% size)
2026-06-01 04:11:08+00:00 | (286974 files, 11% size)
2026-06-01 04:11:18+00:00 | (287014 files, 11% size)
2026-06-01 04:11:28+00:00 | (287054 files, 11% size)
2026-06-01 04:11:38+00:00 | (287094 files, 11% size)
2026-06-01 04:11:48+00:00 | (287134 files, 11% size)
2026-06-01 04:11:58+00:00 | (287174 files, 11% size)
2026-06-01 04:12:08+00:00 | (287214 files, 11% size)
2026-06-01 04:12:18+00:00 | (287254 files, 11% size)
2026-06-01 04:12:28+00:00 | (287294 files, 11% size)
2026-06-01 04:12:38+00:00 | (287334 files, 11% size)
2026-06-01 04:12:48+00:00 | (287374 files, 11% size)
2026-06-01 04:12:58+00:00 | (287414 files, 11% size)
2026-06-01 04:13:08+00:00 | (287454 files, 11% size)
2026-06-01 04:13:18+00:00 | (287494 files, 11% size)
2026-06-01 04:13:28+00:00 | (287534 files, 11% size)
2026-06-01 04:13:38+00:00 | (287574 files, 11% size)
2026-06-01 04:13:48+00:00 | (287614 files, 11% size)
